"vertex","cluster","color"
11779,533,"#8F7700FF"
11236,445,"#EFC000FF"
11784,116,"#0073C2FF"
11785,116,"#0073C2FF"
11786,1406,"#7AA6DCFF"
11788,138,"#A73030FF"
10539,116,"#0073C2FF"
11790,445,"#EFC000FF"
10360,491,"white"
11796,394,"white"
2390,116,"#0073C2FF"
11800,182,"#868686FF"
11802,445,"#EFC000FF"
11804,1406,"#7AA6DCFF"
11806,182,"#868686FF"
11808,445,"#EFC000FF"
11811,182,"#868686FF"
11812,165,"#CD534CFF"
11823,637,"white"
11825,215,"#4A6990FF"
11827,488,"#003C67FF"
11831,445,"#EFC000FF"
11832,182,"#868686FF"
11833,1406,"#7AA6DCFF"
11837,116,"#0073C2FF"
2391,1406,"#7AA6DCFF"
11839,116,"#0073C2FF"
1939,165,"#CD534CFF"
11930,533,"#8F7700FF"
9847,445,"#EFC000FF"
539,488,"#003C67FF"
11935,116,"#0073C2FF"
11936,182,"#868686FF"
11938,182,"#868686FF"
11939,584,"#3B3B3BFF"
11940,638,"white"
11942,116,"#0073C2FF"
11960,182,"#868686FF"
11961,488,"#003C67FF"
11963,165,"#CD534CFF"
9147,5,"white"
11966,445,"#EFC000FF"
11072,182,"#868686FF"
11967,116,"#0073C2FF"
11968,182,"#868686FF"
11969,533,"#8F7700FF"
11970,116,"#0073C2FF"
11972,445,"#EFC000FF"
11973,116,"#0073C2FF"
11974,815,"white"
11986,848,"white"
2392,1406,"#7AA6DCFF"
11989,165,"#CD534CFF"
11990,639,"white"
659,445,"#EFC000FF"
2393,1406,"#7AA6DCFF"
11992,182,"#868686FF"
11994,838,"white"
11997,445,"#EFC000FF"
200,116,"#0073C2FF"
12066,116,"#0073C2FF"
12067,182,"#868686FF"
12068,165,"#CD534CFF"
12070,182,"#868686FF"
12071,116,"#0073C2FF"
2394,1406,"#7AA6DCFF"
11237,445,"#EFC000FF"
12073,584,"#3B3B3BFF"
12074,116,"#0073C2FF"
2395,1406,"#7AA6DCFF"
9199,488,"#003C67FF"
12076,165,"#CD534CFF"
12079,488,"#003C67FF"
12127,182,"#868686FF"
12129,182,"#868686FF"
12130,640,"white"
12132,182,"#868686FF"
12133,445,"#EFC000FF"
201,116,"#0073C2FF"
12136,116,"#0073C2FF"
10213,445,"#EFC000FF"
12138,445,"#EFC000FF"
12139,584,"#3B3B3BFF"
12140,116,"#0073C2FF"
12141,182,"#868686FF"
12142,445,"#EFC000FF"
12143,584,"#3B3B3BFF"
12144,848,"white"
12146,445,"#EFC000FF"
12147,1127,"white"
12149,641,"white"
2397,1406,"#7AA6DCFF"
12152,838,"white"
2398,1406,"#7AA6DCFF"
12181,165,"#CD534CFF"
12183,445,"#EFC000FF"
12184,445,"#EFC000FF"
12185,533,"#8F7700FF"
12186,533,"#8F7700FF"
12187,445,"#EFC000FF"
12188,165,"#CD534CFF"
12189,488,"#003C67FF"
12191,848,"white"
12193,445,"#EFC000FF"
12195,445,"#EFC000FF"
12201,239,"white"
12207,116,"#0073C2FF"
12208,116,"#0073C2FF"
12209,445,"#EFC000FF"
12210,533,"#8F7700FF"
2399,1406,"#7AA6DCFF"
2400,445,"#EFC000FF"
12211,533,"#8F7700FF"
12212,116,"#0073C2FF"
12213,165,"#CD534CFF"
8619,182,"#868686FF"
12299,445,"#EFC000FF"
12300,182,"#868686FF"
12301,165,"#CD534CFF"
12302,182,"#868686FF"
12351,642,"white"
12353,533,"#8F7700FF"
12354,643,"white"
12357,445,"#EFC000FF"
12358,838,"white"
12360,116,"#0073C2FF"
12363,182,"#868686FF"
12364,165,"#CD534CFF"
12367,445,"#EFC000FF"
12368,165,"#CD534CFF"
12373,584,"#3B3B3BFF"
12374,445,"#EFC000FF"
2402,445,"#EFC000FF"
12375,182,"#868686FF"
2404,1406,"#7AA6DCFF"
12376,445,"#EFC000FF"
12377,1343,"white"
12407,445,"#EFC000FF"
12408,1406,"#7AA6DCFF"
12413,116,"#0073C2FF"
540,116,"#0073C2FF"
12418,165,"#CD534CFF"
12419,533,"#8F7700FF"
11998,488,"#003C67FF"
11238,445,"#EFC000FF"
12423,165,"#CD534CFF"
12424,116,"#0073C2FF"
2215,445,"#EFC000FF"
2405,1406,"#7AA6DCFF"
12428,838,"white"
12431,533,"#8F7700FF"
12432,723,"white"
12434,182,"#868686FF"
12435,1128,"white"
12440,182,"#868686FF"
12441,445,"#EFC000FF"
12409,1406,"#7AA6DCFF"
12443,584,"#3B3B3BFF"
12444,445,"#EFC000FF"
2406,1406,"#7AA6DCFF"
12445,445,"#EFC000FF"
12456,165,"#CD534CFF"
12457,644,"white"
12459,182,"#868686FF"
12467,182,"#868686FF"
12468,584,"#3B3B3BFF"
12469,182,"#868686FF"
12471,533,"#8F7700FF"
1837,533,"#8F7700FF"
11999,116,"#0073C2FF"
12660,182,"#868686FF"
12661,116,"#0073C2FF"
12662,533,"#8F7700FF"
12663,6,"white"
12414,116,"#0073C2FF"
12686,182,"#868686FF"
12687,445,"#EFC000FF"
12691,533,"#8F7700FF"
9253,165,"#CD534CFF"
12694,116,"#0073C2FF"
12697,645,"white"
12700,848,"white"
12702,533,"#8F7700FF"
12703,116,"#0073C2FF"
12706,533,"#8F7700FF"
12709,445,"#EFC000FF"
12710,182,"#868686FF"
12711,445,"#EFC000FF"
12712,182,"#868686FF"
12713,1128,"white"
12715,646,"white"
12717,722,"white"
12719,445,"#EFC000FF"
12720,116,"#0073C2FF"
12721,182,"#868686FF"
12722,182,"#868686FF"
12723,723,"white"
12724,647,"white"
12726,488,"#003C67FF"
12728,116,"#0073C2FF"
12729,116,"#0073C2FF"
12730,165,"#CD534CFF"
12731,165,"#CD534CFF"
12732,182,"#868686FF"
12733,182,"#868686FF"
12734,533,"#8F7700FF"
9254,165,"#CD534CFF"
12737,445,"#EFC000FF"
12738,165,"#CD534CFF"
12739,1406,"#7AA6DCFF"
12741,165,"#CD534CFF"
12742,533,"#8F7700FF"
