"","vertex","cluster","color"
"519",9163,445,"#EFC000FF"
"520",2368,445,"#EFC000FF"
"521",9164,445,"#EFC000FF"
"522",9181,116,"#0073C2FF"
"523",9183,116,"#0073C2FF"
"524",538,116,"#0073C2FF"
"525",9186,116,"#0073C2FF"
"526",9187,533,"#8F7700FF"
"527",9188,445,"#EFC000FF"
"528",9192,445,"#EFC000FF"
"529",9193,445,"#EFC000FF"
"530",9195,182,"#868686FF"
"531",8461,445,"#EFC000FF"
"532",9196,614,"white"
"533",9198,533,"#8F7700FF"
"534",2370,116,"#0073C2FF"
"535",9219,533,"#8F7700FF"
"536",9220,445,"#EFC000FF"
"537",9221,615,"white"
"538",9225,138,"#A73030FF"
"539",9226,445,"#EFC000FF"
"540",9227,165,"#CD534CFF"
"541",9230,445,"#EFC000FF"
"542",9231,445,"#EFC000FF"
"543",9232,445,"#EFC000FF"
"544",9233,165,"#CD534CFF"
"545",9235,616,"white"
"546",9237,165,"#CD534CFF"
"547",9238,32,"white"
"548",9239,116,"#0073C2FF"
"549",9241,445,"#EFC000FF"
"550",9242,445,"#EFC000FF"
"551",9250,445,"#EFC000FF"
"552",364,165,"#CD534CFF"
"553",2373,533,"#8F7700FF"
"554",9825,165,"#CD534CFF"
"555",9837,445,"#EFC000FF"
"556",9838,116,"#0073C2FF"
"557",9840,445,"#EFC000FF"
"558",381,445,"#EFC000FF"
"559",8379,838,"white"
"560",10196,620,"white"
"561",10204,165,"#CD534CFF"
"562",10205,621,"white"
"563",10207,848,"white"
"564",10210,445,"#EFC000FF"
"565",10211,116,"#0073C2FF"
"566",10212,533,"#8F7700FF"
"567",114,445,"#EFC000FF"
"568",10244,116,"#0073C2FF"
"569",10245,622,"white"
"570",10247,116,"#0073C2FF"
"571",10208,848,"white"
"572",2374,1406,"#7AA6DCFF"
"573",10252,623,"white"
"574",10254,488,"#003C67FF"
"575",10259,182,"#868686FF"
"576",9252,165,"#CD534CFF"
"577",10284,1406,"#7AA6DCFF"
"578",10285,165,"#CD534CFF"
"579",10286,116,"#0073C2FF"
"580",10287,445,"#EFC000FF"
"581",10291,445,"#EFC000FF"
"582",10292,165,"#CD534CFF"
"583",10293,138,"#A73030FF"
"584",10295,1406,"#7AA6DCFF"
"585",10297,1406,"#7AA6DCFF"
"586",10308,624,"white"
"587",10310,116,"#0073C2FF"
"588",8710,445,"#EFC000FF"
"589",10312,116,"#0073C2FF"
"590",658,165,"#CD534CFF"
"591",10345,116,"#0073C2FF"
"592",10347,445,"#EFC000FF"
"593",10349,445,"#EFC000FF"
"594",10350,116,"#0073C2FF"
"595",10351,584,"#3B3B3BFF"
"596",10352,625,"white"
"597",10354,116,"#0073C2FF"
"598",10355,626,"white"
"599",10357,445,"#EFC000FF"
"600",10358,627,"white"
"601",1308,1406,"#7AA6DCFF"
"602",10440,116,"#0073C2FF"
"603",10442,445,"#EFC000FF"
"604",10443,488,"#003C67FF"
"605",10445,390,"white"
"606",10448,165,"#CD534CFF"
"607",10452,182,"#868686FF"
"608",10453,116,"#0073C2FF"
"609",10454,628,"white"
"610",10456,445,"#EFC000FF"
"611",10457,116,"#0073C2FF"
"612",10459,165,"#CD534CFF"
"613",10460,1406,"#7AA6DCFF"
"614",2378,1406,"#7AA6DCFF"
"615",10462,445,"#EFC000FF"
"616",10463,182,"#868686FF"
"617",10464,445,"#EFC000FF"
"618",10465,445,"#EFC000FF"
"619",580,1406,"#7AA6DCFF"
"620",10466,445,"#EFC000FF"
"621",10467,116,"#0073C2FF"
"622",10468,445,"#EFC000FF"
"623",10469,445,"#EFC000FF"
"624",10485,584,"#3B3B3BFF"
"625",10486,116,"#0073C2FF"
"626",2380,1406,"#7AA6DCFF"
"627",10487,445,"#EFC000FF"
"628",10490,182,"#868686FF"
"629",10514,165,"#CD534CFF"
"630",10515,445,"#EFC000FF"
"631",2381,488,"#003C67FF"
"632",10516,533,"#8F7700FF"
"633",2382,1406,"#7AA6DCFF"
"634",10522,533,"#8F7700FF"
"635",10524,533,"#8F7700FF"
"636",10525,116,"#0073C2FF"
"637",946,445,"#EFC000FF"
"638",10527,116,"#0073C2FF"
"639",10528,445,"#EFC000FF"
"640",10529,445,"#EFC000FF"
"641",10530,445,"#EFC000FF"
"642",10531,533,"#8F7700FF"
"643",10533,116,"#0073C2FF"
"644",10534,445,"#EFC000FF"
"645",10537,671,"white"
"646",1623,116,"#0073C2FF"
"647",10714,746,"white"
"648",10716,445,"#EFC000FF"
"649",10717,165,"#CD534CFF"
"650",10719,445,"#EFC000FF"
"651",10724,533,"#8F7700FF"
"652",10725,116,"#0073C2FF"
"653",10726,445,"#EFC000FF"
"654",10727,445,"#EFC000FF"
"655",10728,488,"#003C67FF"
"656",10730,533,"#8F7700FF"
"657",10731,445,"#EFC000FF"
"658",10732,488,"#003C67FF"
"659",10733,116,"#0073C2FF"
"660",10734,116,"#0073C2FF"
"661",7900,838,"white"
"662",10740,533,"#8F7700FF"
"663",10743,445,"#EFC000FF"
"664",10744,445,"#EFC000FF"
"665",10745,533,"#8F7700FF"
"666",10746,629,"white"
"667",10748,533,"#8F7700FF"
"668",10750,533,"#8F7700FF"
"669",10751,445,"#EFC000FF"
"670",10752,630,"white"
"671",10756,533,"#8F7700FF"
"672",10758,445,"#EFC000FF"
"673",10759,488,"#003C67FF"
"674",10761,1406,"#7AA6DCFF"
"675",10763,116,"#0073C2FF"
"676",10764,106,"white"
"677",2383,1406,"#7AA6DCFF"
"678",10766,497,"white"
"679",10768,848,"white"
"680",10772,631,"white"
"681",10775,445,"#EFC000FF"
"682",10776,488,"#003C67FF"
"683",10792,488,"#003C67FF"
"684",10795,116,"#0073C2FF"
"685",10796,116,"#0073C2FF"
"686",10797,138,"#A73030FF"
"687",1624,116,"#0073C2FF"
"688",10821,138,"#A73030FF"
"689",115,116,"#0073C2FF"
"690",10822,165,"#CD534CFF"
